detail	date	price(in_dollar)	number_of_bed	rating_value	amount_of_answers	property_type	city	country	state
Views to the valley, Wi-Fi, Air-Con, terrace,	Jun 11 - 18	79.0	2 beds	4.88	140	Home	Otívar	Spain	
Casa del Mago - Castelmezzano	Jun 12 - 17	93.0	3 beds	4.78	100	Home	Castelmezzano	Italy	
Moinho do Sr. Arnaldo - Big Windmill at Peniche	Jun 19 - 26	196.0	1 queen bed	4.85	13	Windmill	Atouguia da Baleia	Portugal	
canopy house	Jun 27 - Jul 2	81.0	4 beds	4.81	212	Earthen home	La Canourgue	France	
Panucci's house- halfway between the sea and mountain	Jun 1 - 6	25.0	2 double beds	4.98	245	Home	Dinami	Italy	
Peacock House	Jun 11 - 17	80.0	2 double beds	0.0	0	Cottage	Crossdoney	Ireland	
Aura House 2bds Eco Bamboo House, Pool, River View	Jan 9 - 14	513.0	2 double beds	4.87	209	Villa	Abiansemal	Indonesia	
BALIAN TREEHOUSE w beautiful pool	Jun 21 - 26	117.0	1 king bed	4.85	287	Hut	Balian Beach	Indonesia	
Bali Bamboo House | Rescape Ubud - Relief Villa	Oct 29 - Nov 3	171.0	1 bed	4.79	164	Hut	Ubud	Indonesia	
❣️Romantic Staycation-PrivateSunset Pool@megananda	Nov 18 - 23	111.0	1 king bed	4.92	388	Villa	Ubud	Indonesia	
Dome - Bamboo Villa in Eco Six Bali	Jul 4 - 9	420.0	1 king bed	4.87	85	Cabin	Tampaksiring	Indonesia	
Treehouse De Valentine	Jun 15 - 20	255.0	5 beds	4.91	147	Treehouse	Balamban	Philippines	
Luxury 5 BDR Resort w/ Gym & Ricefield View	Sep 12 - 17	506.0	5 beds	4.78	101	Villa	Tampaksiring	Indonesia	
Exclusive Private Island + Brother Island, El Nido	Jun 1 - 6	469.0	11 beds	4.82	131	Island	El Nido	Philippines	
15min walk to MRT Private room for 3 Free Brekkie.	Jun 24 - 29	31.0	3 double beds	4.9	255	Room	Chom Phon	Thailand	
Elegant & luxurious 3 BR villa rice-fields pano	Jun 21 - 26	322.0	4 beds	4.65	94	Villa	Kecamatan Ubud	Indonesia	
Exclusive Beach Villa - Balian Beach	Jun 1 - 6	240.0	4 beds	4.8	105	Villa	Tabanan	Indonesia	
180° VIEW, PRIVATE POOL VILLA..	Jun 11 - 16	206.0	1 bed	4.93	355	Villa	Singaraja	Indonesia	
White Breeze Pool 1BD Apartment	Jun 4 - 10	64.0	1 queen bed	4.69	112	Apartment	Phuket	Thailand	Thailand
Beautiful villa on the edge of BLUE LAGOON	Jun 1 - 6	264.0	1 bed	4.83	1239	Villa	Nusa Ceningan	Indonesia	
Intimate Private Pool Villas in Ubud center	Jun 7 - 12	209.0	1 double bed	4.89	223	Villa	Kecamatan Ubud	Indonesia	
50% OFF | Ipian Cinta with Private Pool jacuzzi	Oct 28 - Nov 2	142.0	1 double bed	4.62	118	Hut	Kecamatan Ubud	Indonesia	
Love Nest for honeymooner at best location	Sep 3 - 8	251.0	1 bunk bed	4.98	87	Villa	Kecamatan Kuta Utara	Indonesia	
Leafy Greens Chiangmai : Mushroom M2	Jun 13 - 20	22.0	1 bunk bed	4.87	210	Earthen home	Mueang Chiang Mai District	Thailand	
Love Nest for honeymooner at best location	Sep 3 - 8	251.0	1 double bed	4.98	87	Villa	Kecamatan Kuta Utara	Indonesia	
❣️Secluded Getaway Staycation+SunsetPool@megananda	Nov 6 - 11	111.0	1 king bed	4.89	364	Villa	Payangan	Indonesia	
Leafy Greens Chiangmai : Mushroom M2	Jun 13 - 20	22.0	1 bunk bed	4.87	210	Earthen home	Mueang Chiang Mai District	Thailand	
#3# Beautiful Balinese Villa with Private Pool	Nov 12 - 17	137.0	1 queen bed	4.91	434	Villa	Ubud	Indonesia	Kabupaten Gianyar
Palma Villa, Spectacular Sea View Villa with Pool	Jul 17 - 22	238.0	2 beds	5.0	13	Villa	เกาะพงัน	Thailand	
Luxurious Private Pool Villa with Garden North of Ubud	Oct 14 - 19	126.0	2 beds	4.92	166	Villa	Tegallalang	Indonesia	
Tiny Tall Haus Ubud Getaway!	Jun 26 - Jul 1	95.0	1 queen bed	4.87	104	Tiny home	Kecamatan Ubud	Indonesia	
Pondok Prapen -Ubud Center Private Pool Villa	Jun 15 - 20	217.0	3 beds	4.89	333	Bungalow	Ubud	Indonesia	
Beetle - Bamboo Villa in Eco Six Bali Resort	Oct 28 - Nov 2	458.0	2 king beds	4.82	82	Villa	Tampaksiring	Indonesia	
the naked house	Jun 5 - 10	205.0	7 beds	4.88	183	Home	Ko Samui	Thailand	
"""Villa Sauvage 2 br"" - a magic horizon of coziness"	Jun 6 - 11	122.0	2 double beds	4.57	115	Villa	Kamala	Thailand	
Bathing Private Exclusive Cottage	Jun 12 - 17	183.0	6 beds	4.91	181	Home	Mabini	Philippines	
Zen Hideaway #3 - ultimate Wabi-sabi experiences	Jul 30 - Aug 4	235.0	2 king beds	4.8	372	Hut	Abiansemal	Indonesia	
Explore, Experience, Enjoy T-HOUSE Lakestaycation!	Jun 2 - 7	39.0	2 queen beds	4.43	160	Tiny home	Cavinti	Philippines	
Hidden Bamboo Bali	Nov 8 - 13	136.0	1 king bed	4.91	161	Hut	Tampaksiring	Indonesia	
Poolside room in large villa. 5 minutes to beach.	Aug 10 - 16	34.0	1 king bed	5.0	37	Room	Kecamatan Denpasar Selatan	Indonesia	
Ba hao Residence x MAITRI CHIT ROOM	Aug 15 - 20	96.0	1 king bed	4.93	431	Room	Bangkok	Thailand	
Pool Villa by Humble	Jun 15 - 20	63.0	1 king bed	4.93	105	Boutique hotel	Ko Samui	Thailand	
[VR] 2BR High Skyline Ocean View @ Pattaya	Jun 5 - 10	136.0	3 beds	4.69	85	Apartment	Muang Pattaya	Thailand	
Villa Seminyak 1 Bedroom 10 Mins to Beach	Jun 11 - 16	69.0	1 king bed	4.67	340	Home	Kuta	Indonesia	
DEEPSPACE villa X1 ,Secret Address on Quiet Beach	Jun 6 - 11	164.0	3 beds	4.7	47	Villa	Ko Lanta District	Thailand	
BALIAN TREEHOUSE 2 - with private pool	Jul 21 - 28	131.0	3 beds	4.89	140	Place to stay	Balian Beach	Indonesia	
Private pool two bedroom villa - villa the cow	Jun 3 - 8	97.0	2 double beds	4.8	124	Villa	Thành phố Hội An	Vietnam	
清迈 The Astra Condo长康路无边泳池豪华公寓古城夜市边Chang Khlan road	Jun 12 - 17	33.0	1 queen bed	4.68	158	Apartment	清迈	Thailand	
Garden view twin room with breakfast-Ngan Phu	Jun 10 - 17	24.0	2 single beds	4.85	255	Place to stay	Thành phố Hội An	Vietnam	
Heritage of Art Villa Iseh in Sidemen East Bali	Jun 1 - 6	154.0	1 queen bed	4.89	111	Room	Sidemen	Indonesia	
One-Bedroom Suite in Patong Beach	Jun 9 - 14	49.0	2 king beds	4.73	67	Apartment	Tambon Patong	Thailand	
【CENTRAL STUDIO】0-min BTS ASOK, FAST WIFI, NETFLIX	Jun 1 - 6	58.0	4 beds	4.74	252	Condo	Khet Watthana	Thailand	
Eagles Nest, Luxury Villa, Koh Yao Noi	Jun 1 - 6	986.0	22 beds	4.95	43	Villa	Koh Yao Noi	Thailand	
FIG TREE BOUTIQUE VILLA	Jun 1 - 6	30.0	3 queen beds	4.83	92	Hotel room	Thành phố Hội An	Vietnam	
Seaview Bedrock Home	Jun 1 - 6	131.0	3 beds	4.8	35	Earthen home	Ao nang	Thailand	
Alamanda Tropical Wooden Villa - Pool View	Jun 15 - 20	97.0	2 beds	4.87	196	Villa	Langkawi	Malaysia	
Perch Villa - Clifftop villa spectacular sea view	Jun 6 - 11	162.0	1 bed	4.94	71	Villa	Koh Lanta Island	Thailand	
Tropical Private Room Canggu 3 by Rios Guest House	Aug 4 - 11	33.0	3 beds	4.86	7	Guesthouse	Kecamatan Kuta Utara	Indonesia	
Luxury Beach Front Pool Villa, Phuphatara Rayong	Jun 6 - 11	359.0	1 double bed	4.68	85	Villa	Rayong	Thailand	
TROPICAL POOL BEACH VILLA III | Beach-Pool-Freedom	Jun 3 - 8	142.0	1 double bed	4.92	25	Cottage	Lamai Beach	Thailand	
Samu House. Tropical stay private pool.Adults Only	Sep 29 - Oct 4	108.0	1 bed	4.84	106	Cabin	Kecamatan Ubud	Indonesia	
Romantic 1br Villa - Ubud Jungle	Dec 24 - 29	363.0	1 king bed	5.0	13	Villa	Tampaksiring	Indonesia	
umatreehouse	Nov 16 - 21	133.0	1 bed	4.93	164	Treehouse	Tampaksiring	Indonesia	
Promo Price! Magical Treehouse, Stunning Views.	Aug 23 - 30	280.0	4 beds	4.78	528	Treehouse	Ubud	Indonesia	
Tropical Glamping 🌴 Cliff Side Ocean View + Net🐬	Oct 26 - 31	474.0	1 queen bed	4.93	209	Bungalow	Nusapenida	Indonesia	
Cliffside Bamboo Treehouse - Private Pool & View	Nov 14 - 19	484.0	1 bed	5.0	59	Treehouse	Klungkung	Indonesia	
Dreamy Cliffside Bamboo Villa with Pool and View	Nov 5 - 10	484.0	1 bed	4.98	58	Cabin	Klungkung	Indonesia	
25%OFF! Romantic Honeymoon Escape in Ubud Paradise	Jun 28 - Jul 3	117.0	1 double bed	4.77	219	Cottage	Ubud	Indonesia	
Acala Lembongan-Deluxe Suite Sea View	Oct 6 - 11	92.0	1 queen bed	4.63	51	Resort	Nusa Lembongan	Indonesia	
NEW 5BR Luxury Villa in Ubud: Pool and Jungle View	Jun 20 - 25	451.0	5 double beds	0.0	0	Villa	Ubud	Indonesia	
Seaside Designer Treehouse ~ Stunning Views ~ Pool	Jun 13 - 18	121.0	1 bed	4.75	4	Treehouse	Kabupaten Buleleng	Indonesia	
private villa with infinity pool hill and sea view	Oct 6 - 11	53.0	1 double bed	4.8	35	Room	Kabupaten Buleleng	Indonesia	
50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape	Oct 11 - 16	89.0	6 beds	4.67	128	Hut	Ubud	Indonesia	
Private Modern Beachfront Villa: Pool, Sunset View	Jun 28 - Jul 3	628.0	9 beds	5.0	15	Villa	Bacnotan	Philippines	La Union
SoftLaunch IbizaInspiredBeachfrontVilla inBatangas	Jul 2 - 7	473.0	1 king bed	4.91	11	Villa	Lian	Philippines	
Stunning Room Near Ubud Market - Outdoor Pool!!	Sep 14 - 20	44.0	1 bed	4.78	358	Hotel	Kecamatan Ubud	Indonesia	
Hotel Room with Private Plunge Pool Siray Bay#2	Jun 13 - 18	71.0	1 bed	5.0	13	Hotel	Tambon Ratsada	Thailand	
Suite 2 - Beachfront Luxury Suite on Bingin Beach	Oct 16 - 21	267.0	1 bed	4.93	96	Guest suite	Bingin Beach	Indonesia	
Private Modern Beachfront Villa: Pool, Sunset View	Jun 28 - Jul 3	628.0	6 beds	5.0	15	Villa	Bacnotan	Philippines	La Union
TROPICAL - DESIGNER LOFT - Seminyak	Sep 26 - Oct 1	220.0	1 king bed	4.98	113	Loft	Seminyak	Indonesia	
SoftLaunch IbizaInspiredBeachfrontVilla inBatangas	Jul 2 - 7	473.0	9 beds	4.91	11	Villa	Lian	Philippines	
Hotel Room with Private Plunge Pool Siray Bay#2	Jun 13 - 18	71.0	1 bed	5.0	13	Hotel	Tambon Ratsada	Thailand	
Suite 2 - Beachfront Luxury Suite on Bingin Beach	Oct 16 - 21	267.0	3 king beds	4.93	96	Guest suite	Bingin Beach	Indonesia	
3 Bdr - The Dream Cliffside Bamboo Villa By Avana	Aug 3 - 8	913.0	1 bed	4.97	30	Treehouse	Klungkung	Indonesia	
Madara Ubud Villas	Aug 2 - 7	194.0	2 beds	4.83	129	Villa	Kecamatan Ubud	Indonesia	
New 2BR+2Bath Eco Home	Jul 24 - 29	53.0	2 beds	4.73	11	Shipping container	Tambon Bo Put	Thailand	
Le Aiken Xperience - Unique Bamboo House	Aug 30 - Sep 4	252.0	2 beds	4.69	94	Place to stay	Penebel	Indonesia	
Six-Bamboo Villa in Eco Six Bali Resort	Sep 30 - Oct 6	458.0	1 bed	5.0	5	Home	Kecamatan Tampaksiring	Indonesia	
One-Bedroom Villa Suite Deluxe	Sep 24 - 29	229.0	1 queen bed	4.95	20	Home	Kecamatan Kuta Selatan	Indonesia	
Enchanted Hobbit Treehouse Nestled in the Jungle	Oct 17 - 24	207.0	1 king bed	4.92	117	Treehouse	Tegallalang	Indonesia	
Romantic hideaway for two	Oct 25 - 30	33.0	2 beds	4.97	229	Home	Tegallalang	Indonesia	
PICO DE LORO ( Santorini Vibe)	Jun 25 - 30	112.0	4 beds	4.88	16	Apartment	Nasugbu	Philippines	
*NEW* Lovely New 3BR Villa Stunning Jungle View	Sep 12 - 17	381.0	1 bed	4.7	69	Villa	Kecamatan Tampaksiring	Indonesia	
Nalu Bingin - 1 Bedroom Villa	Sep 25 - 30	202.0	2 beds	5.0	5	Villa	South Kuta	Indonesia	
Pelangi Treehouse (formerly Skai Joglo)	Sep 25 - 30	229.0	1 queen bed	4.92	112	Villa	Kecamatan Ubud	Indonesia	
°3 Charming room in Bingin beach	Sep 10 - 15	155.0	1 queen bed	4.52	523	Place to stay	Pecatu	Indonesia	
Luxe Villa in Tropical Oasis, Ubud. Walk to town.	Oct 28 - Nov 2	176.0	1 king bed	4.93	287	Villa	Ubud	Indonesia	
4br Lovina Paradise - Ocean View	Jun 9 - 14	460.0	4 king beds	4.93	40	Villa	Banjar	Indonesia	
Baby & kids friendly, JB CIQ, Romantic Duplex	Jun 25 - 30	75.0	2 beds	4.82	182	Condo	Johor Bahru	Malaysia	
Tiny House by The Modern Escape	Jul 3 - 8	128.0	2 beds	5.0	32	Tiny home	Concepcion	Philippines	
Gorgeous luxury 1 bedroom villa in heart of Canggu	Sep 9 - 14	325.0	1 bed	4.87	47	Villa	Kecamatan Kuta Utara	Indonesia	
Boho-Chic villa with ocean&rice field view	Sep 28 - Oct 3	201.0	3 queen beds	4.97	67	Villa	Kecamatan Seririt	Indonesia	
Ceylon Villas 4 - 1BR Villa! 5 mins to Ubud 🌴	Nov 23 - 28	125.0	1 bed	4.92	184	Villa	Ubud	Indonesia	
Gypsea Bali Bungalow with private bathroom and AC	Sep 11 - 16	155.0	1 king bed	4.92	78	Place to stay	Kecamatan Kuta Selatan	Indonesia	
DAY CLOUDS, Ubud	Jul 20 - 25	72.0	1 bed	4.59	122	Hut	Kecamatan Ubud	Indonesia	
Cozy Loft Cabins Near Tagaytay	Aug 7 - 13	252.0	8 beds	4.88	43	Cabin	Amadeo	Philippines	
Ocean View and Private Pool at Balian Beach	Jul 23 - 28	116.0	1 queen bed	4.82	122	Place to stay	Tabanan	Indonesia	
Wanagiri Cabin	Nov 1 - 7	148.0	2 beds	4.97	29	Cabin	Kecamatan Sukasada	Indonesia	
Batan Sabo Cottage	Sep 27 - Oct 2	72.0	1 queen bed	4.72	459	Place to stay	Nusapenida	Indonesia	
Bamboo Turtle cabin river view 5km to Ubud center	Jul 9 - 14	118.0	1 bed	4.88	75	Treehouse	Kecamatan Ubud	Indonesia	
PROMO! Luxury Villa Escape in Ubud 2 BR	Sep 1 - 6	306.0	2 beds	5.0	4	Home	Kecamatan Ubud	Indonesia	
Villa Sea Spray Bali Cowrie literally on the Ocean	Aug 19 - 24	130.0	2 beds	4.79	112	Apartment	Candidasa	Indonesia	
The Nude House	Jul 10 - 15	305.0	2 beds	4.68	19	Home	Kecamatan Selat	Indonesia	
Tiny Poolvilla in the heart of Phuket	Jul 25 - 30	119.0	1 king bed	5.0	98	Villa	Kathu	Thailand	
Bamboo Turtle cabin river view 5km to Ubud center	Jul 9 - 14	118.0	1 bed	4.88	75	Treehouse	Kecamatan Ubud	Indonesia	
PROMO! Luxury Villa Escape in Ubud 2 BR	Sep 1 - 6	306.0	2 beds	5.0	4	Home	Kecamatan Ubud	Indonesia	
The Nude House	Jul 10 - 15	305.0	2 beds	4.68	19	Home	Kecamatan Selat	Indonesia	
Tiny Poolvilla in the heart of Phuket	Jul 25 - 30	119.0	1 king bed	5.0	98	Villa	Kathu	Thailand	
Instagrammable Loft Studio in EkoCheras KL	Jul 9 - 14	60.0	1 double bed	4.94	84	Apartment	Kuala Lumpur	Malaysia	
❤PROMO Beachfront oasis. Private pool and firepit	Jun 16 - 21	189.0	4 beds	4.74	46	Villa	Kecamatan Banjar	Indonesia	
Arte Mont Kiara Muji Suites	Jun 4 - 11	51.0	3 beds	4.59	406	Condo	Federal Territory of Kuala Lumpur	Malaysia	
My Canopy Tagaytay (with thermal pool)	Sep 17 - 22	424.0	17 beds	4.91	81	Villa	Tagaytay	Philippines	
Luxe Suite: Villacellabella Ubud Bali Instaworthy	Jun 26 - Jul 1	490.0	1 double bed	4.92	167	Room	UbudUbud	Indonesia	Gianyar
CITY APART ★ CENTRAL City-FREE Pool & Gym	Jun 1 - 6	31.0	1 king bed	4.64	96	Apartment	phường 6	Vietnam	
Villa Akasha - Bio-Architected Eco Dome	Sep 19 - 24	86.0	1 queen bed	4.65	303	Place to stay	Ubud	Indonesia	
#1Beach Front Villa room Villa Blanca Beach Front	Jun 4 - 9	71.0	1 queen bed	4.58	114	Resort	Lian	Philippines	
Luxury 1 BR Villa w/ Private Pool & Ricefield View	Oct 25 - 30	92.0	4 queen beds	4.95	208	Villa	Ubud	Indonesia	
Yuma • Atlantis Melaka/3BR 8Pax WiFi Balcony SeaView	Jun 18 - 23	40.0	2 king beds	4.43	7	Apartment	Melaka	Malaysia	
Ceylon Villas 1 - 2BR Villa! 5 mins to Ubud 🌴	Sep 27 - Oct 2	166.0	1 king bed	4.89	176	Villa	Tampaksiring	Indonesia	
Newly furnished first row of seaview in Moon, sea view, perfect sunrise ~ long term rental welcome (also discounted)	Jul 9 - 14	155.0	2 king beds	4.92	216	Home	頭城鎮	Taiwan	
B Designer King Bed with Partial SEA VIEW bath	Jun 2 - 7	75.0	2 king beds	4.5	281	Boutique hotel	Kathu District	Thailand	
Vaikuntha#3, The Pursuit of Perfect Rustic Beauty	Oct 15 - 20	201.0	2 king beds	4.82	146	Hut	Selat	Indonesia	
DELUXE SEA VIEW + Hot Tub @Koh Samui	Jun 2 - 7	72.0	1 bed	4.63	16	Resort	Tambon Maret	Thailand	
Spacious Apt in City of Angels	Jun 8 - 13	19.0	1 king bed	4.95	438	Apartment	Bangkok	Thailand	
Luxury room & Sky pool, in Phuket town	Jun 8 - 13	40.0	1 bed	4.81	210	Apartment	Phuket	Thailand	
Mt Batur Sunrise & overnight	Jun 11 - 16	42.0	1 bed	4.97	29	Tent	Kintamani	Indonesia	
Tide 2 in Penida Tides Cottage	Jul 29 - Aug 3	32.0	1 king bed	4.85	68	Place to stay	Nusa Penida	Indonesia	
Ceylon Villas 2 - 2BR Villa! 5 mins to Ubud 🌴	Oct 12 - 17	157.0	2 king beds	4.88	112	Villa	Ubud	Indonesia	
Private room4 Legian/breakfast/close to Kuta beach	Jun 6 - 11	81.0	1 bed	4.91	34	Room	Kabupaten Badung	Indonesia	
Luxury Ocean Front, 2,500sq ft Private Eco Villa!	Jun 16 - 21	450.0	1 double bed	4.96	24	Villa	Karangasem	Indonesia	
★Studio in Seafront Private Villa w/infinity pool★	Jun 30 - Jul 5	53.0	3 beds	4.83	93	Apartment	PHUKET	Thailand	
Veranda Residence pattaya 2bedroom partial seaview	Jun 6 - 11	83.0	2 beds	4.89	186	Condo	Na Chom Thian	Thailand	
Cool Home w Garden near Sea	Jul 6 - 11	77.0	2 beds	4.81	360	Home	Hua Hin	Thailand	
Cozy & Modern Loft w/ high speed wi-fi and Netflix	Jul 5 - 10	35.0	1 king bed	4.92	196	Loft	Pasig	Philippines	
Cozy Place near Shopping Center	Jun 20 - 25	35.0	2 king beds	4.96	237	Apartment	Phuket	Thailand	
Ocean View Pool Villa @ Balian Beach	Jun 8 - 13	170.0	1 queen bed	4.76	282	Home	Tabanan	Indonesia	
Oceanfront Pool Villa	Jul 30 - Aug 5	163.0	2 beds	4.96	23	Villa	General Luna	Philippines	
Lovely 1 Bedroom Suite with Pool View	Jun 5 - 10	26.0	3 beds	4.27	56	Condo	George Town	Malaysia	
Private Beach House. The Shack	Jun 11 - 18	89.0	1 king bed	4.88	41	Home	Santander	Philippines	
Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad	Jul 3 - 8	69.0	1 king bed	4.71	98	Treehouse	Bali	Indonesia	
Luxury room & Sky pool, in Phuket town	Jun 8 - 13	40.0	1 bed	4.81	210	Apartment	Phuket	Thailand	
Tide 2 in Penida Tides Cottage	Jul 29 - Aug 3	32.0	1 king bed	4.85	68	Place to stay	Nusa Penida	Indonesia	
Walk to Petronas Towers from a Stylish Apartment	Jun 5 - 10	71.0	1 king bed	4.89	296	Apartment	Kuala Lumpur	Malaysia	
Private room4 Legian/breakfast/close to Kuta beach	Jun 6 - 11	81.0	1 bed	4.91	34	Room	Kabupaten Badung	Indonesia	
Luxury Ocean Front, 2,500sq ft Private Eco Villa!	Jun 16 - 21	450.0	1 double bed	4.96	24	Villa	Karangasem	Indonesia	
★Studio in Seafront Private Villa w/infinity pool★	Jun 30 - Jul 5	53.0	3 beds	4.83	93	Apartment	PHUKET	Thailand	
Veranda Residence pattaya 2bedroom partial seaview	Jun 6 - 11	83.0	2 beds	4.89	186	Condo	Na Chom Thian	Thailand	
Cool Home w Garden near Sea	Jul 6 - 11	77.0	2 beds	4.81	360	Home	Hua Hin	Thailand	
Coconut Garden Resort Gili Trawangan	Jul 24 - 30	69.0	1 king bed	4.84	242	Hotel room	Gili Trawangan	Indonesia	
Cozy & Modern Loft w/ high speed wi-fi and Netflix	Jul 5 - 10	35.0	2 king beds	4.92	196	Loft	Pasig	Philippines	
Balian Beachfront Luxury Tiny House	Jun 5 - 10	186.0	4 beds	5.0	19	Tiny home	Kabupaten Tabanan	Indonesia	
Ocean View Pool Villa @ Balian Beach	Jun 8 - 13	170.0	1 queen bed	4.76	282	Home	Tabanan	Indonesia	
PD D'Wharf Premium Suite - Full Seaview (4-6 Pax)	Jun 8 - 15	54.0	1 king bed	4.88	129	Apartment	Port Dickson	Malaysia	
Oceanfront Pool Villa	Jul 30 - Aug 5	163.0	1 king bed	4.96	23	Villa	General Luna	Philippines	
Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad	Jul 3 - 8	69.0	2 beds	4.71	98	Treehouse	Bali	Indonesia	
Studio in Beachfront Private Villa w/Infinity pool	Jun 18 - 23	38.0	2 beds	4.88	64	Apartment	PHUKET	Thailand	
Grand Seaview Pool Suite •	Jun 1 - 6	111.0	2 beds	4.85	26	Room	Phuket	Thailand	
❤️THE LOFT, Romantic Beachfront Home, HIN KONG.	Aug 18 - 23	198.0	2 beds	4.96	56	Home	ตำบล บ้านใต้	Thailand	
❤️THE LOFT, Romantic Beachfront Home, HIN KONG.	Aug 18 - 23	198.0	2 beds	4.96	56	Home	ตำบล บ้านใต้	Thailand	
5* Studio Resort like: Mason Place Capitol Park	Jun 8 - 13	29.0	2 queen beds	4.95	112	Apartment	Kecamatan Senen	Indonesia	
Minimax House by wiandra	Jun 3 - 8	96.0	4 beds	4.84	81	Home	Lembang	Indonesia	
B1731/Seaview/5 mine drive to Jonker/Imperio/4 pax	Jun 13 - 19	23.0	3 beds	4.54	209	Condo	Melaka	Malaysia	
*6Maritime Seafront Scandinavian Home‖北欧风格日出无敌海景套房	Jun 1 - 7	153.0	3 double beds	4.39	380	Loft	George Town	Malaysia	
Scenic Cebu City View Condo in Ayala	Jun 16 - 21	41.0	2 queen beds	4.98	315	Condo	Cebu City	Philippines	
Baan Rom Pruk private house, near Naiyang beach	Jun 5 - 10	26.0	1 king bed	4.96	172	Bungalow	Naiyang Beach	Thailand	
10' walk to Bitexco D1 45sqm Studio - Stay&Fun 01	Jun 2 - 7	38.0	1 queen bed	4.8	163	Condo	Quận 4	Vietnam	
Ayung Panorama. Poetic house on Ayung River cliff	Aug 27 - Sep 1	159.0	2 king beds	4.91	227	Villa	Abiansemal	Indonesia	
Villa The Spot - Room B6	Jun 3 - 8	127.0	1 bed	4.75	28	Room	Ko Samui District	Thailand	
Cozy Seafront Studio Suite Near Queensbay	Jun 25 - 30	52.0	1 bed	4.83	263	Condo	Bayan Lepas	Malaysia	
GLAMPING Experience with an INFINITY POOL	Jun 22 - 27	79.0	2 beds	4.8	45	Hut	Kecamatan Selat	Indonesia	
Veranda Residence pattaya 1BR partial sea view	Jun 5 - 10	47.0	2 queen beds	4.8	95	Condo	Tambon Na Chom Thian	Thailand	
1min KLCC Twin Tower & Pavilion/Ins cottage for best memories	Jun 25 - 30	38.0	2 beds	4.91	278	Apartment	Kuala Lumpur	Malaysia	
Nyan Bali -A Bamboo House Escape with Private Chef	Dec 1 - 6	237.0	2 queen beds	4.95	104	Cabin	Selat	Indonesia	
5-Star Experience at the Heart of Cebu	Aug 9 - 16	49.0	3 beds	4.96	280	Condo	Cebu City	Philippines	
Antipolo - Secluded and Romantic	Jun 4 - 9	143.0	3 beds	4.87	478	Bungalow	Antipolo	Philippines	
Alon and Sandy Surf Shack GFloor (Air Conditioned)	Jun 10 - 16	129.0	3 beds	4.62	145	Room	San Juan	Philippines	
The Blue Cabin #Beach	Jun 3 - 8	62.0	1 queen bed	4.85	59	Room	Botolan	Philippines	
Amazing Manila Bay View! Spacious Comfy, Clean *31	Jun 11 - 16	69.0	2 beds	4.9	154	Condo	Manila	Philippines	
Luxurious private 2bedrm seafront Phuket penthouse	Sep 2 - 7	286.0	2 beds	4.92	185	Apartment	Thalang	Thailand	
Serenity Tagaytay Home w/ WIFI & NETFLIX	Jun 11 - 16	30.0	3 beds	4.79	447	Condo	Tagaytay	Philippines	
B1933B/5 min drive to Jonker/Seaview/Imperio/4 pax	Jun 18 - 24	24.0	4 beds	4.69	196	Apartment	Melaka	Malaysia	
H&B Villas Phu Quoc - 3 Bedrooms	Jun 1 - 6	252.0	4 beds	5.0	20	Villa	Phu Quoc	Vietnam	
A Chic and Cozy 2Br Unit w/ Netflix and Disney+	Jun 4 - 9	34.0	6 beds	4.94	295	Condo	Pasig	Philippines	
Coastline Seaview Duplex Level 19 Executive Floor	Jun 4 - 9	87.0	1 king bed	4.92	437	Loft	George Town	Malaysia	
BOHO CABIN, Hin Kong Beachfront, West Coast.	Jul 7 - 12	132.0	2 beds	4.98	44	Cabin	Tambon Ko Pha-ngan	Thailand	
(A)Charming Pool Access One Bedroom Apartment	Jun 3 - 8	65.0	1 double bed	4.82	68	Apartment	Tambon Kamala	Thailand	
One Bedroom Condo in Roxas Boulevard, Pasay City	Jun 7 - 12	30.0	8 beds	4.77	332	Condo	Pasay	Philippines	
Wake up to the Sea of Bali: Beachfront luxury plus	Oct 10 - 16	194.0	1 queen bed	5.0	139	Villa	Seririt	Indonesia	
Enchanted River cabin w/private garden and kitchen	Aug 19 - 24	51.0	2 beds	4.85	127	Cabin	Lazi	Philippines	
Cozy City Condo at Horizons 101 [ W/ WIFI ].	Jun 5 - 10	26.0	2 beds	4.44	220	Condo	Cebu City	Philippines	
SUNSET SEAVIEW DELUXE PATONG - POOL+TERRACE	Jun 25 - 30	64.0	4 beds	4.8	159	Apartment	Tambon Patong	Thailand	
Appartment 140 sqm 6 people big terrace sea view	Jun 14 - 19	111.0	2 beds	4.91	160	Apartment	Tambon Rawai	Thailand	
Cozy room 48.5 sq.m @The Astra near Night market	Jun 7 - 12	45.0	1 king bed	4.89	190	Condo	Chiang Mai	Thailand	
EXPRESSIONZ-1Bedroom-Junior-Suite-KLCC-Sky-Pool	Jun 1 - 6	53.0	1 king bed	4.78	408	Apartment	Kuala Lumpur	Malaysia	
Coastline Seaview Duplex Level 19 Executive Floor	Jun 4 - 9	87.0	6 beds	4.92	437	Loft	George Town	Malaysia	
VENUE HOTEL-20% Superior City NiceWindow#Good Rate	Jun 4 - 9	17.0	1 bed	4.35	17	Hotel	Nha Trang	Vietnam	
